content	emotion1	emotion2	sentiment
白羊思念一个人，不必天天见，不必互相拥有或相互毁灭，不是朝思暮想，而是一天总想起他几次。 听不到ta的声音时，会担心ta；一个人在外地时，会想念和ta一起的时光。 	none	none	0
啊呀，我都晕了。 我现在究竟是在什么时代啊，是在1944年呢，还是六十年后。 他们走了两万五千里，是来干什么的呢。 来开证券交易所炒股票的吗。 那需要绕那么远的路吗？ 有人说，这股市跟牛市，马市，驴市是一样的。 是吗？ 我不明白。 	none	none	0
十二星座遇到地震后的反应！。 @王珞丹 水瓶座！ 遇到地震会很享受！ 看图水平座那小人 跟你一样！ 姐姐我上升巨蟹！ 提醒你地震啦！ 回想起我喊第二声妹地震了！ 你已经一溜烟跑到门外 等我跑到六楼 您已经运用含笑半步颠 快跑到一层啦！ 姐表示哭笑不得！ 	happiness	sadness	3
人物（10）太阳在地中海中泛起金光。 再见，战士们。 我挥一挥手，不带走一片云彩。 穿过红色的沙漠，带着我黑色的眼睛，来看绿色的大海。 	none	none	0
准备做饭的时候阳台突然暗黑，手机显示黄色暴雨警告，本来不想拿出相机拍摄，不过最后还是架起脚架等待，最后幸运地拍到了闪电映衬下的广州塔。 	happiness	none	1
Save your heart for someone who cares. /把心留给在乎你的人吧！ 	none	none	0
我能更低[呵呵] //@音乐人孙沐：听了三遍，绝美的好声音！ //@涂鸦文化马斌：谢谢陈老师[耶] 一定不辜负你的期待！ 目前歌路稍嫌单一，望今后拓宽歌路，加强表演性，让自己成为一个具有强大表现力的超级低音歌手，这才是对歌坛的真正贡献！ 我期待着！ 	happiness	none	1
据了解，这块硬盘是1月24日从胶州路火灾废墟中重新搜寻出的一块，40G，因为被其他残骸物压在下面，得以完好保存下来。 硬盘中有蓝教授写到2009年年底的著作资料。 虽然缺少了2010年的内容，但是存在的大纲、文字、图片对蓝教授重新撰写大作极有帮助。 预计年底，蓝教授的《电影艺术论》就能问世。 （尤） 	none	none	0
女记者参观精神病院，陪同的院长告诉她，有些病人很危险，但管理得很好。 这时一个女人迎面走来。 目露凶光，记者连忙退到一边，还好，那女人只是狠狠地瞪了院长一眼就过去了。 等她走远了，女记者说：看来这里的管理还要加强。 事后，有人告诉女记者，那个女人并不是这里的精神病人，而是院长的妻子。 	none	none	0
我靠我完全心动了！ 价格也是经济实惠的！！ 永久C 复古女车(象牙白) 再配个竹编车篓太文艺女青年了！！ 	like	none	1
网友实拍，已经没人能阻挡这样超市了，神级的布局，神级的企划啊，其他超市情何以堪啊！！！！ [哈哈] （更多精彩请关注：@邪恶的悠悠） 	like	none	1
回复@赵--晨地盘:有博客，白纸黑字啊。 到底谁更理性？ 是他们还是任志强董藩朱大鸣我们，回头看看看就很清楚了。 一群外行想说清房地产问题，那就是徒劳的了。 股评人士，更难说准确。 //@陈宝存:回复@赵--晨地盘:理论，他们已经无价值了。 我们的理论丛08年就开始了，他们一次也正确不了。 	none	none	0
我以为满墙贴的是什么呢~~原来都是来这边游玩的全世界各地喜欢韩流的朋友们留下的星星， 很漂亮的各种艺人图片，金光闪闪~~ 来了这边千万不要忘了留下自己的印记哦，在那么好的氛围下留个纪念~ 然后下次去我去找找有哪些我们中国的祝福语~~~[耶] 	happiness	none	1
先收着@待业青年-人口贩子时坚 //@全球新鲜资讯:看了2分钟，笑喷了[笑哈哈]~~~这是一部神奇的片子 ~~~ 	none	none	0
爱一个人不容易，忘记一个人更难. 是啊，爱一个人是很苦的很苦的事，想一个人是很累的很累的事，等一个人是很傻的很傻的事，为什么我们却不能拒绝这样的相思？ 为什么我们心甘情愿无怨无悔？ 为什么我们却如此依然痴迷不悟？ 	none	none	0
来自香港医管局的陈磊石老师做主题报告:传承南丁格尔精神。 @男丁格尔81V @邓俊Justin @男丁哥儿浩 @狂飙84 	none	none	0
关于人生，不管有些人多么失望、抱怨，其实每个人心底都深藏着一份美好、光明，快乐和幸福，得到它们便是人生的意义。 	none	none	0
幸福女人的十个密码：一个你爱的人； 两个爱你的人； 三分慵懒； 四个朋友； 五个工作日； 六分浪漫； 七分灵气；八分智慧；九分独立；十分热情。 	none	none	0
555555你做到了！！ 和皇家蓝一起！！ 以沙尔克队长的名义举起冠军奖杯~~~~(_)~~~~ 	happiness	none	1
victoria2月9日新闻：维多利亚现身伦敦希斯罗机场,这位第四度怀孕的她小腹已经非常明显,但她仍然是一身最爱的黑色装扮,穿着高跟鞋。。。 NATE暴强回复：真的不是f(x)的Victoria吗？ [哇哈哈] [哇哈哈] （敢情粉丝明显希望是） 	happiness	surprise	1
NND，楼下那个畜生老把车停我家车库门口，最近我的车一直停着，此物懊恼了，关我家水表，划我的车，甚至把车停到车库和我的车中间的空地！！ 老娘陪它玩，今天开始畜生停一次，我就半夜爬起叫它起床挪一次车，它妈没教它只好我辛苦点教教它，我突然觉得我太爱楼下的门铃了[鼓掌][鼓掌]声音可大了！ 	anger	happiness	3
总在想，如果不曾错过你，在每一个春日的午后，都牵着你的手，一同走上那条种满新茶的上路。 细细地和你诉说着一切，让暖暖的阳光洒在身上，让心溢满幸福。 	happiness	none	1
斯特拉瑟不错，踢的很稳重还能灵机一动插上射门得分，使得米兰在人手短缺阵容不整的情况下全取三分，结果很满意，小斯很给力。。。 是不是阿莱格里又发现队中一宝呢，现在起码看来加加受伤的时候小斯能顶得住了。 	like	none	1
明天要去医院喝糖，从午饭后就不敢吃甜味儿的东西了。 晚上八点后就不让吃东西，明天早上也不能吃早饭。 [泪]饿死我算了！！！ 	sadness	none	-1
五一武汉漫展COS ARASHI~~~~利达销魂的剪影~~~~~赞~~~~ 这个COS太给力了~~~~~ 	like	none	1
地铁二号线主城区迁移190棵悬铃木。 我在一周前追踪采写到其中的一半，在白下区园林绿化管理所的苗圃里，83棵树，68棵死亡。 最大的一棵死亡悬铃木，胸围280厘米，有80年树林。 2006年4月份移树的时候，南京市园林局的承诺是80%存活，实际情况是，80%死亡！ 	anger	none	-1
开始让一些人渐渐淡出我的生活。 你不是我的，我亦不是你的。 我的心那么小，可以遇见的人不多，可以付出的，亦只有那么几个。 记忆里残存的温柔，终会抵不过眼前平时的幸福。 哪怕它，只是一个小小的光点，所以，我们亦只能看见眼前，然后简单的生活，区别的，只是心而已。 	none	none	0
[大哭][大哭]尼玛的! 老纸不淡定! 就是要治愈! 治愈! 看清楚这个才是真正的西皮真爱! 允在真爱! 睁大眼睛! 	anger	none	-1
一个人需要隐藏多少秘密，才能巧妙地度过一生，这佛光闪闪的高原，三步两步便是天堂，却仍有那么多人，因心事过重，而走不动。──仓央嘉措。 大家，安！ 	none	none	0
没电的古式酒店——Adrere Amella，位于埃及锡瓦绿洲上。 入住酒店要不从开罗开7小时车、要不在镇外军事基地包直升飞机前往。 从这里可欣赏绿洲美景，但由于没网络、没电视甚至没电，夜间在公共区域仅有火把照明，因此日落后便要考虑入睡。 入住酒店的客人用餐是免费的，价格约每晚3000元人民币。 	none	none	0
今天真是累死我了，鲁豫有约的录影简直就是上刑啊！！～ 那狭小的空间蜷缩着忍了将近4个小时，我现在屁股还在抽筋哇有木有！！ 一切为了祥哥！！！ 爷睡了～～～～～～～～～～～～～～～ 	disgust	sadness	-1
人的一生，仿佛都是在寻找活下去的靠山——父母、权力、事业、男人、能力、影响力。。。 你以为是靠自己活着，其实最终都是靠别人活着。 人唯一能够找到自我的办法，就是靠时间，时间到了，自我也就找到了。。。 而原来你之前的人生，不过是一段恐惧。 ——陆琪（上帝保佑，大家晚安） 	none	none	0
。《三国》中的男人，哪怕原先是朋友，是兄弟，玩着玩着就成了敌人，成了你死我活的仇人； 《水浒》中的男人，哪怕原先是对头，是仇人，打着打着就成了兄弟，成了肝胆相照的哥们。 	none	none	0
全会指出，要抓住热点、破解难点，集中力量解决反腐倡廉建设中人民群众反映强烈的突出问题，着重在以下四个方面下工夫： 	none	none	0
OMG。。。 要不要这么多fancam。。。。 要不要啊啊啊啊啊啊啊啊。。。。。。。 我要下到猴年马月啊啊啊啊啊啊啊啊啊。。。。。 	disgust	surprise	-1
男火女木--火木夫妻好婚配、子孙孝顺家业旺、六畜钱粮皆丰盈、一世富贵大吉昌 男火女水--水火夫妻虽有情、结啼姻缘亦不深、儿女若是有富贵、到老还是孤独人 男火女火--两火夫妻日夜愁、妻离子散泪水流、二命相克宜不聚、四季孤独度春秋 	none	none	0
Hello Kitty近日和美国滑板潮流品牌Vans联名，即将上市一组可爱的滑板鞋！ 这套系列鞋款多样，鞋面均采用了各色Hello Kitty的头像花纹，玩味十足，让人爱不释手，绝对是Hello Kitty粉丝的必备单品，更有婴儿号码供小朋友选择！ 预计今年暑期发售。 	none	none	0
@雄鷹華 想,怎么能将教育搞好? 责任推出去了三分之二啊!! 简单得跟零一样的问题: 三方面教育的科学比例是~~学校重点管知识传授; 家庭重点管教养修养; 社会管公益公共意识的养成!! 希望袁部长尽快纠正这个荒唐了多年的 & amp;quot;方针 & amp;quot;!! ~王久辛敬致 12.9.晚 	none	none	0
俄罗斯惯性技术学会内部刊物《日出共青城》------- 2011年1月11日，中国军方试飞了世界上第三种第五代战斗机J20。 这种外形看上去酷似MIG 1.44 MFI的战斗机被中国网友视作中国航空制造水平跻身世界领先水平的标志。 这是极其可笑的，因为J20充满了俄罗斯航空企业联合体工程师们的智慧结晶。 	none	none	0
《伴娘》，如果把《宿醉》里的笑话让女人们来表演，那是一个惊喜还是一个悲剧呢？ 《伴娘》的成功证明了这是一个惊喜，电影无所顾忌的表现了几个女人在做伴娘过程中的疯狂经历，整部电影从头到尾恶搞到底，屎尿屁应有尽有，看这部电影是一次非常放松的过程，非常嗨，推荐。 	none	none	0
他从小生活在农村,家里穷没上过学,长大后出门在外打工,每天省吃俭用,中午一个烧饼一杯凉茶就凑合凑合. 他不懂政治不懂经济只知道每天多挣10块钱,每月就能多给母亲买点药给儿子多寄点生活费. 全国有多少这样的人他们没接受过任何资助,没享受过任何福利，他们也是最容易被遗忘的群体 	none	none	0
一边是满嘴仁义道德的贪官，一边是塑造出来不切实际的楷模，一边是麻木不仁不敢抗争的民众，这就构成了一幅具有中国特色的清明上河图。 在现代文明中，任何不主张追究自由和民主，不主张维护公民的合法权益，不主张反对执政者的贪污腐败特权的所谓先进性文化实际上完完全全都是糟粕而已！ 	disgust	none	-1
不要轻易尝试致幻药物。 它驱散觉知，使原本挡在「你」前面的滤镜垮塌，但是这无发带来洞见，因为你的觉知不在。 所有的洞见必须在全然的觉知下才能被经历。 不过致幻剂可以带来有趣的视野，仅此而已。 	none	none	0
济南市金融办主任胡晓蒙说，接到报案后，济南市公安局迅速采取措施，立即将主要及有关涉案嫌疑人抓获归案。 经初步侦查，刘某某通过伪造金融票证这种手段，多次骗取资金，涉及一些金融机构和多家企业。 目前公安机关已查封有关个人及公司资产，扣押资金，并正在调查其他资金流向，进一步追缴涉案赃款 	none	none	0
话说我竟然没有注意到这张图。。。。。。 她拿话筒的手，简直了。。。。。 还可以在娇羞一点儿么啊啊啊啊啊啊啊啊兰花指。。。。。。。。。。。。 	disgust	surprise	-1
市长看望灾民：如果大家不满意，想怪谁，就都怪我一个人吧。 如果没照顾好曼谷市民，我难逃责任。 (Nation Weekend) 	none	none	0
昨天投诉百度时啥也没说只是狂骂脑残弱智尼玛找死，，，OMG，奏效了，他们立马把我ID解封了，，他们是不是贱骨头啊，好好跟他们说就是不理你。 	disgust	surprise	-1
大飞机C919中的C既是中国(China)的首字母，也是中国商用飞机有限责任公司英文缩写COMAC的首字母。 同时，也寓意着中国商飞立志要跻身国际大型客机市场，与空中客车(Airbus)和波音(Boeing)一道在国际大型客机制造业中形成ABC格局。 	none	none	0
[心] 回首过去的一年，多情自古伤别离，又一次看透了生命的虚幻； 花开花落无寻处，又一次体会了生命的短暂； 忍看朋辈成新鬼，又一次参透了生命的真谛； 夜半无人私语时，又一次理解了生命的孤独； 梦里不知身是客，又一次明白了生命的羁旅。 这次第，怎一个愁字了得。 211 	sadness	none	-1
上课的时候知道是星期几，不知道是几号... 考试的时候，知道是几号，不知道是星期几... 放假回家了，是几号和星期几都不知道了。。 	none	none	0
《大漠谣》断货的解释：大漠谣这个月底版权到期，出版商已经停止印刷。 而我本人最近三四个月都没有时间修订，所以也没有再版计划，因而断货。 	none	none	0
看到最后一句不禁感叹老大终于记得祝福自己了！ 元旦快乐！ 棒棒的老大！ 新的一年希望你别只忙于工作哦，多慰劳慰劳自己嘛！ 不过看着有点难度啊，工作狂神马的真愁人＝＝哈哈，燕子也要加油了，向棒棒的老大看齐！ 你一直是我心中最温暖的力量！ 爱你！ 	like	happiness	1
一个美丽女子约了情人一起午夜私奔，因为怕家人发现，只能带一个非常小的行李箱，箱子里只能装三两套衣服，女子什么也没带，只带上了一件精致优雅的晚礼服。 这样的故事，这样的女子，只有走在这样的街道里才最合适。 	none	none	0
打拐不能伤害乞讨小孩，保护他们乞讨权。 风传的网络打拐，上传了无数照片，但没发现一个被拐卖儿童乞讨。 乞讨小孩大部分来自于丐村，春节出来勤工俭学。 孩子们不乞讨，开学就会生活困难。 富贵安康之人，谁会让孩子出来讨钱。 冲动打拐，或感叹乞讨不雅之余，要给他们留条生路。 为五斗米折腰，无奈啊！ 	sadness	none	-1
OH NO！！！！！！！！！！！！！！！！！！ 这真的不是P了哪个小姑娘的身子上去么[lt中枪][lt中枪][lt中枪][lt中枪][lt中枪][lt中枪][lt中枪][lt中枪][lt中枪][lt中枪] 	disgust	none	-1
我要感谢今早的交通管制,虽然在上四环的札道上堵了十分钟但是确换来后来到海淀桥的一路畅通,开车时我都怕超速了,全程四十分钟到中关村完全要感谢交通管制,两会万岁 	like	happiness	1
武建东今日发表在东方早报的文章：《2011年我们如何革互联网的命》。 一如老武之前的选题，比较有战略思考，我甚至在这个方向上我是可以有所贡献的。 顺便说一句，本来想贴上原文链接，但网上一搜，都是转发的，这东方早报也太不注重线上推广了。 	none	none	0
我靠!!!!!!!!!!!!! 你他妈怎么不干脆直接换成两颗绒球啊!!!!!!!!!! 卧槽人至贱则无敌[吐]小鹿斑比不是你能学的，呸 	disgust	anger	-1
和外公吃饭中，外公一直很happy的给我唱他对着书学来的各种歌哈哈哈～～ 还要我有空去给他伴舞。。。 老年人果然要多参加集体活动才会心情好身体好～ 	happiness	none	1
孩子马上两周岁了，很多的感触，我也不知道我这当妈妈的到底能打几分，我到底对宝宝好不好！ 但现在真的是每天爱你多一些，真的，壮壮。 	like	none	1
回复 @微微型企业主:天黑后，我省境内因结冰，大部分高速又关闭了。 //@微微型企业主:回复 @太原交通台:谢天谢地，已顺利回到太原 	none	none	0
悲剧本不该发生，野蛮施工导致事故也就罢了，120来了见人瞳孔放大、心脏停止跳动，本应立即做心脏复苏，但却简单地往岳父鼻子里插了一根气管就拉往医院，黄金时间就此错过，岳父因此脑缺氧时间过长，最终脑死亡。 救治岳父一月来屡次接触120，越加深刻体会到这一行救死扶伤逐渐退居到生意经之后了。 	disgust	none	-1
新华网：据云南省森林防火指挥部办公室主任林向东介绍，火区为次生林。 若无意外，这次森林火灾可望在上午８时左右扑灭。 截至3月1日１时，增援的森警部队均已到位。 由于火区离丽江机场和丽江城区不远，游客和当地居民能很清楚看到火势，游客和居民从肉眼观察认为火势较大。 （图：王法摄于28日下午4时） 	none	none	0
初到伦敦，大家都会奇怪为什么好多地方都有香奈儿logo！ 其实，是为了铭刻一段真爱！ 1925年，在一个名流酒会上，Westminster公爵认识Coco chanel小姐，之后他追她，用尽了各种权力和奢华。 最夸张的是，公爵把伦敦市中心的灯柱上，全部雕刻上了她的logo和代表他的w，因为爱情！[泪][泪][泪][心][心][心] 	surprise	none	2
[赞] //@呙玉文： //@谢乐军:星云大师说：人有一分修养，便有一分气质；人有一分器量，便有一分人缘；人有一分虚心，便有一分智慧；人有一分经验，便有一分事业；人有一分磨难，便有一分本领。 现在每一分的积累，都会在未来兑换为成果！ 	like	none	1
最新消息，海豚台现在两档访谈节目《非常静距离》和《说出你的故事》正在按排群姐的访谈节目，大家期待吧。 不过最早要也要等春晚录制结束了。 	none	none	0
麻痹你的嘴脸能再肮脏一点嘛.. 你他妈想在路过红吗..? 你他妈想这样去圈饭吗?? 有时候话还是得掂量点说.. 别顶着A的头像乱他妈说话.. 劳资肯定不承认你他妈是A的饭.. 你饭不起A!! 没资格饭A!!! 艹你麻痹!!! 	anger	disgust	-1
蜜蜂狂追蝴蝶，蝴蝶却嫁给了蜗牛。 蜜蜂不解：他哪里比我好？ 蝴蝶回答：人家好歹有自己的房子，哪像你住在集体宿舍。 	none	none	0
佛言禅语:1发现自己的错误这就是开悟；改正自己的错误这就是成就。 发现了所有的错误这就是彻悟；改正了所有的错误这就是圆满。 2心清净了，一切都清净；心自在了，一切都自在。 3你最执着的东西对你的伤害最大。 你对哪件事、哪个人、哪句话执着心最强，它对你的伤害就最大. 4看一切人都是好人这才是解脱。 	none	none	0
近视的人痛苦哇，戴眼镜好不方便，戴个隐形吧，又怕惹个眼角膜炎什么的就崩溃，还不能戴着游泳。 有时没戴眼镜在路上走着，遇到熟人你看不清楚没打招呼被说大牌有没有，遇到以为是认识的人打招呼人家以为你是傻子有没有.. 没有近视的你们一定要好好爱惜自己的眼镜呐，这是近视者的心声呐！！ 	sadness	none	-1
大地数字影院-惠州美博城5月24日排期(周二会员日）:《3D加勒比海盗4》成人票45元学生票40元会员35元 14:10 16:50 19:40 22:10《2D加勒比海盗4》成人票35元学生票30元会员20元 13:00 15:40 19:00 21:30《速度与激情5》成人票35元 学生票25元会员20元 13:40 14:20 16:10 17:00 18:50 19:30 21:15 21:50 	none	none	0
美！ 就连你手中的那瓶护肤霜都瞬间如观音菩萨的玉净瓶一样美丽脱俗~~~~ //@夏_夜曲:啊啊啊啊啊啊啊啊 	like	none	1
在这个三八的世界里，一个三八的地方有个三八的我利用我三八的时间给三八的你发一条很三八的信息非常三八的对你说：今天三八妇女节过的三八点！ 	none	none	0
上辈子我真的是秦始皇焚书坑儒的帮凶么！！！！ 天啊，所以老天你每天惩罚我看那么多字，写得眼睛都花了。。。 	sadness	none	-1
桌子底下的秘密之一：要不是俊秀的一推，你们俩呀~早全部在镜头中暴露了吧！ 叫你们不害臊，不低调，不收敛。。。 	disgust	none	-1
最痛苦的莫过于徘徊在放与不放之间的那一段。 真正下决心放弃了，反而，会有一种释然的感觉。 从此，痛和爱都深深埋进心里。 人生就是这样，难免有痛，难免有伤，无论我是否曾经抓住，那些东西都已离我而去，有些事不能回首，有些回忆不能梳理，有些人只能永远埋藏。 	none	none	0
1946年三个女孩报考国立清华大学落榜，这让人看见了中国教育界的公平和良心。 落榜的女孩是：清华建筑系主任梁思成的女儿梁再冰，文学院长冯友兰的女儿冯钟璞，校长梅贻琦的女儿梅祖芬。 但是现在，每个大学招生办手中有一大把机动名额，据说就是为了照顾系主任以上关系户的。 教育界已经没有了公平。 	disgust	none	-1
福建启动菜价异动协商机制 与3月15日相比，3月26日全省18种蔬菜价格13降5升，平均跌幅为5.5%，其中上海青、油菜、菜花、圆白菜等当家菜价格跌幅明显，全省平均每500克上海青2.48元、油菜3.16元、菜花3.33元、圆白菜1.94元、黄瓜3.61元、胡萝卜1.74元，分别下跌20.8%、19.2%、14%、12.2%、11.3%、9.4% 	none	none	0
这几周的assignment真是该死的多！！！ [衰]中午忙里偷闲好好吃顿饭，之后的午餐可就极少数能吃得那么悠哉了。（seared scallop / hot choc) 	sadness	disgust	-1
一些混账专家和律师在替药家鑫辩护，其冷血思维到了无以复加的地步。 我想象不出人类历史上还有什么比这个谋杀更恶劣的，如果连这样凶残的行为都不处于死刑的话，死刑到底应该留给谁呢？ 从某种意义上说，药家鑫比屠童的郑明生更可怕，因为他们更强势，更飞扬跋扈，更目空一切，而且更有颠倒是非的能力！ 	anger	disgust	-1
英语老师让同学们翻译肯德基广告语We do chicken right! （烹鸡专家），答案五花八门： ①我们做鸡是对的。 ②我们做正确的鸡。 ③我们在右边做鸡。 ④我们做鸡的在右边。 ⑤我们做鸡的右边。 ⑥我们做右边的鸡。 ⑦右边是做鸡的。 ⑧我们做鸡，对吗？ 对！ 我们来做鸡吧！ 	none	none	0
想要穿上露背礼服，肌肤却像天花板一样干燥脱屑，而且晒得深浅不一。 应急秘方：以细软的沐浴刷将皮肤老死细胞刷去，然后用较温和的沐浴乳，温水淋浴。 等肌肤尚未干的时候，抹上滋润乳液，多擦一点。 如果可以，用接近深色皮肤的粉底均匀地覆盖在花了的皮肤上。 	none	none	0
有人捐款，很多人就打听捐多少？ 有啥目的？ 然后开始掐指盘算别人的资产，再和别的富人比谁捐多少，然后愤愤不平，然后开始算计。 又开始帮人家安排捐款数目和捐给谁？ 真是神经兮兮，人家的钱要你来安排捐款多少？ 这些肮脏的人还振振有词呢? 大家细细想想每个人的钱如果人家帮你安排，你愿意吗？ 	disgust	none	-1
明天又要睡到下午 我两天没碰电脑了!!! 明天要用电脑!!!!!!!!!!!!!!!!!!!!! 要给力!!!!!!! 要为理想粪斗!!!!!! 晚安!!!! 鸡公堡没有眼泪!!!! 顺便悼念我的便秘!!!! 	like	sadness	3
我曾告戒自己，不要总生活在自己心中，但要避开心中的往事又谈何容易？ 有花下的苦苦等待，有落叶飘零中的无奈，也有不得不离开的酸涩，更有分分合合的铭心与刻骨。 经历了这么多，我只能说，或许无忧无虑并不代表生活的幸福，我常为我的生活苦恼，从而不断的思索，正是经过思索。 	none	none	0
电视正在上演《护国大将军》，很少看电视剧，这一次我看了，因为那里演的是蔡锷的故事：我喜欢他——敢爱敢恨，敢作敢为！ 	like	none	1
初次见面他瘦小可爱，他无意识去骗他，他无条件相信。 儿时的滑雪场，他想和他一起入镜头，他翻着白眼推开他。 三年，他们一起组合出道。 十四年，他不再瘦小可爱已变成有担当的男人。 他还是喜欢模仿他吐槽他。 他在他生日时不经意地吻上他的侧脸。 他深情地从身后搂住他。 那是他们最温馨不变的爱。 	none	none	0
[感悟]1.岁月把爱塑成了歌,却让唱歌的人四处流浪。 2.望君用心生活,每天快乐。 3.我不再强迫自己住进你的眼里。 如此,我决定皈依自己。 4.你知道,不是每个人都可以在我心里兴风作浪。 5.终有一天我会成为自己的女王。 6.遇见他青春闪了腰。 7.允许思念与遗忘,允许我手中揣着光,允许我这一秒微笑,下一秒忧伤 	none	none	0
我真他妈服了你们这帮老头老太太！ 你们又他妈不上班！ 天天跟我们这帮上班上学的抢什么啊！ 就他妈不能错开高峰么！ 操！ 	anger	disgust	-1
瓶子会问你许多无厘头让你莫名其妙的问题来让你回答。 你也许会觉得他无理取闹，可是我敬告你最好认真地回答，因为这些东西对他们来说很重要。 如果你答不了，他们会很失望，情绪会低落，会对你产生一些逆反心理---可你不会知道。 你不经意间传过去的一个温柔眼神比送他玫瑰花说口干舌燥的表白要有用的多 	none	none	0
新年我有一个梦想，股价永远不跌，房价永远不涨；我有一个梦想，所有的车，全都规规矩矩地走在路上；我有一个梦想，年轻人不用为了供房供车，搜刮爹娘；我有一个梦想，医院不收红包只是救死扶伤；我有一个梦想，贪污腐败要严打，抓牢一个就是一枪；我有一个梦想，有错就认，不管自己爹是李逵还是李刚。 	none	none	0
[泪][泪][泪][泪][泪]亲爱的，马上你就完完全全是张先生的人了。 你们一定要幸福！ 一定会幸福！ 永远！[爱你][爱你] 	like	none	1
回复@房产博客编辑部:试图不靠，但是那种想法才是十三不靠。 //@房产博客编辑部:回复@陈宝存:国内内需不靠房地产业？ 	none	none	0
没原因 就是喜欢你 就像海眷恋 天空般 的心情 你前进 看着你背影 就足够世界 无条件 的放晴[跳舞花] 	like	none	1
一个犹太集中营幸存者的女儿，一个嫁过王子、大亨；击败癌症却从未停下自己事业的美丽女人65岁的DVF首次出现6月芭莎＂老女孩＂的专辑中，以她亲身经验告诉大家永远年轻的秘密就是不要对自己说不，永远有孩子样的好奇心[爱心发光] 	like	none	1
人民日报大厦建筑风格采用企鹅造型很符合人民日报的定位：1、貌笨拙，聪明至极； 2、住南极，不知冷暖； 3、虽摇晃，但永不倒； 4、有翅膀，但不能飞； 5、虽长毛，却能游泳； 6、似畜生，实际鸟人（企鹅属鸟科） 7、严重声明：绝非指桑骂槐说腾讯！ 傻逼是傻逼者的墓志铭，牛逼是牛逼者的通行证。 	disgust	none	-1
今天中午哥在公司居然看到了这辈子见过最美的妹纸啊，当时就不淡定了，hold不住了啊，清纯有木有？ 身材有木有？ 气质有木有？ 妹纸带的是访客的带子，貌似来面试的，兄弟姐们们我是不是应该在妹纸来之前套套近乎啊？ 跪求妹纸的联系方式！ 	like	none	1
有意思，一度从手机短信中消失了的卖淫、夜总会等色情广告，最近又猖獗起来，我平均每天都收到两个，有些用词不堪入目，大多是东莞、深圳等地色情场所广告。 是因为春天来了？ 还是因为警察都集中力量去维稳而无瑕它顾？ 	none	none	0
哇噻，我地个冷汗直冒，送个祝福也打错别字，还错得离谱，真是哭笑不得，还好删得快，真是的，跟某人做朋友时间长了，也传染了这个毛病！！！ 哈哈！！[蛋糕] 	happiness	fear	3
···夏天来啦[太阳] 天气预报总会和我的以为神奇般的相反,,,我穿着毛衣走在街上,,,人家已经吊带裙子了[冒个泡] 以后给手机充电必须要开着电脑，CAR它大概被我像垃圾一样丢掉了[叹号] 还有哦。。。 又开始打折了！ 别怪我没有告诉你们[懒得理你]… 	happiness	anger	3
遇到了短信要打款的骗子，就调戏了一下，结果这个骗子很会演啊，配合我说的变成了绑匪——这样心情大起大落大喜大悲的经历，估计情绪上不太好受吧…[晕] （转） 	none	none	0
处女座范冰冰在华谊庆功宴上，范冰冰不顾在场的上百位媒体记者，公然坐在张纪中的大腿上。 这一举动，当然是那一晚的焦点新闻。 范冰冰总是说自己的许多绯闻是媒体制造的，可是你也改改自己的作风吧！ 不要太高调了。 即使你和张纪中关系好也不一定非得坐在人家大腿上喝酒吧！ 	disgust	none	-1
雪地上撒欢~~2月10日，香港游客吴美而在天安门广场玩雪。 当日凌晨，北京迎来去冬今春首场全市范围降雪。 自入冬以来，北京市区已经连续108天无有效降水，初雪日期也破了60年来最晚纪录。 新华社记者侯俊摄 	none	none	0
对于我们来说，生活中必须有，也应该有某种人生信仰它偶尔用一句话、一场梦、一种表情或一个事件向我们传递一种令人振奋的消息- 	like	none	1
这款环保灭虫灯通过吸收太阳能给能发射紫外线吸引昆虫的假花提供能源。 当假花将虫子吸引过来之后，埋伏在一旁的捕虫植物就会出击，将虫子消灭，从而达到灭虫目的。 	none	none	0
冰冰又要挥纽约啦, 为了雪花吗? 到地方了别忘记发条围脖哈, 省得大家惦记~~ 爱你, 宝贝, 有大家的爱陪着你, 等着老大的是一切顺利!! [爱你] [心] 	like	none	1
饭局三大要素：酒、菜、烟； 饭局三大纪律：让座、劝酒、抢埋单； 饭局三大特色：吹捧、忽悠、讲段子； 饭局三大主力：宾客，主人，陪客； 饭局三大功能：求人，密谋，庆功； 饭局三大显摆：剩菜，剩饭，剩酒； 饭局三大境界：豪言壮语，疯言疯语，不言不语。 	none	none	0
Brian McCarty，美国摄影师，导演，他将玩具拿到一些真实的场景中进行拍摄，然后进行后期处理。 一些作品里玩具本身是相对可爱的，但表现的画面又偏向成人世界，营造出亦真亦幻的独特氛围。 	none	none	0
欧阳峰：任何人都可以变得狠毒，只要你尝试过什么叫嫉妒。 我不会介意其他人怎么看我，我只不过不想别人比我更开心。--《东邪西毒》 	none	none	0
前置的200万摄像头加上闪光灯，拍照效果很不错了！ //@RudyWei:搞起来，这价格，喜欢的朋友别犹豫了 	like	none	1
有位大学生居士说，他在学校里无法斋戒，因为不管是哪样饭菜里都有荤食，白菜里有菜青虫，就连米饭里也有米虫。 这样应该如何修行呢？ 唉，我只能说这个问题把我难住了。 	none	none	0
